نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
شقة, الرياض , حي الملقا ,غربية,3,1,3,210,1,0,1,,0,1,1700000
شقة, الرياض , حي حطين ,شرقية,3,2,3,170,0,0,1,3,0,0,1390000
شقة, الرياض , حي النرجس ,شمالية غربية,3,2,3,176,0,0,1,علوي,0,0,1233000
شقة, الرياض , حي النخيل ,جنوبية,3,2,5+,216,1,0,1,أرضي,3,0,1200000
شقة, الرياض , حي الملقا ,غربية,3,2,3,117,1,0,1,3,0,1,1179000
شقة, امارة منطقة الرياض, الرياض ,جنوبية غربية,3,2,3,146,1,0,1,علوي,0,0,1250000
شقة, الرياض , حي النرجس ,شمالية,3,1,3,132,1,0,0,,0,0,1029000
شقة, الرياض , حي النرجس ,,2,1,2,129,1,0,0,أرضي,0,0,830000
شقة, منطقة الرياض, الرياض ,ثلاث شوارع,4,1,4,151,0,0,0,,0,0,896000
شقة, الرياض , حي الياسمين ,,3,2,3,191,1,0,0,أرضي,0,0,1189000
شقة, الرياض , حي الياسمين ,شمالية,3,1,3,174,1,0,1,,0,0,850000
شقة, الرياض , حي القيروان ,,3,1,3,100,1,1,1,أرضي,0,0,850000
شقة, الرياض , حي النرجس ,ثلاث شوارع,2,1,3,167,1,1,1,علوي,0,0,1255600
شقة, الرياض , حي النرجس ,شرقية,5,1,4,141,0,0,1,أرضي,0,0,985000
شقة, الرياض , حي المغرزات ,غربية,2,2,3,158,1,1,1,أرضي,0,1,1375000
شقة, الرياض , حي الندى ,جنوبية,3,2,3,142,1,0,0,علوي,0,0,1149000
شقة, الرياض , حي الملقا ,غربية,4,1,4,135,0,0,0,أرضي,0,0,1250000
شقة, منطقة الرياض, حي الوادي ,جنوبية,3,1,3,126,1,0,0,علوي,2,1,970000
شقة, امارة منطقة الرياض, الرياض ,شمالية شرقية,3,1,3,147,0,0,0,أرضي,0,0,957000
شقة, الرياض , حي النرجس ,جنوبية,3,2,3,200,1,0,0,أرضي,1,0,950000
شقة, الرياض , حي النرجس ,شمالية,4,1,3,179,1,1,1,3,0,0,1155000
شقة, الرياض , حي حطين ,شمالية,3,2,3,146,1,0,1,علوي,10,1,1300000
شقة, الرياض , حي العارض ,جنوبية,4,2,4,200,1,1,1,علوي,0,0,1190000
شقة, الرياض , حي القيروان ,شمالية شرقية,3,1,3,147,1,1,1,ثالث,0,0,1079000
شقة, الرياض , حي النرجس ,,3,2,3,124,0,0,1,,0,0,859000
شقة, امارة منطقة الرياض, الرياض ,جنوبية غربية,4,1,3,181,0,0,0,أرضي,0,0,995000
شقة, منطقة الرياض, الرياض ,,1,,3,151,0,0,0,,0,0,896000
شقة, الرياض , حي القيروان ,,3,1,3,134,1,1,0,علوي,3,0,1100000
شقة, الرياض , حي العارض ,شمالية,3,2,3,141,1,0,1,3,0,0,959000
شقة, الرياض , حي الربيع ,,3,1,3,110,1,0,0,علوي,0,0,940000
شقة, الرياض , حي النرجس ,,3,1,3,140,0,0,0,علوي,0,0,1250000
شقة, الرياض , حي العقيق ,شمالية غربية,3,1,3,162,1,1,1,3,0,0,700000
شقة, الرياض , حي الملقا ,شرقية,2,1,2,148,1,0,1,أرضي,0,0,1099000
شقة, الرياض , حي حطين ,شمالية غربية,2,1,2,107,1,0,0,أرضي,0,0,945000
شقة, الرياض , حي النرجس ,شرقية,3,1,3,163,1,1,1,أرضي,0,0,906000
شقة, الرياض , حي المروج ,شمالية شرقية,3,1,2,130,1,0,1,,10,0,800000
شقة, الرياض, الرياض ,جنوبية,3,1,3,129,1,0,1,أرضي,1,0,950000
شقة, منطقة الرياض, الرياض ,,3,2,3,149,1,0,1,علوي,0,0,1250000
شقة, الرياض , حي النرجس ,شرقية,3,1,3,132,1,0,1,أرضي,0,0,985000
شقة, منطقة الرياض, الرياض ,,4,1,3,126,1,0,1,علوي,7,1,1350000
شقة, الرياض , حي النرجس ,غربية,4,1,3,160,1,0,1,3,0,0,920000
شقة, الرياض , حي الملقا ,شرقية,3,1,3,124,1,0,0,أرضي,0,0,1100000
شقة, الرياض , حي التعاون ,شمالية,3,1,3,140,1,0,0,أرضي,4,0,1200000
شقة, الرياض , حي الملقا ,,3,1,2,100,1,1,1,أرضي,0,0,1000000
شقة, الرياض , حي الوادي ,شمالية,3,1,3,141,1,0,0,أرضي,0,0,979000
شقة, الرياض , حي القيروان ,شمالية,3,2,3,141,1,0,1,3,0,0,949000
شقة, امارة منطقة الرياض, الرياض ,شرقية,4,1,5+,181,0,0,1,علوي,0,0,1300000
شقة, الرياض , حي النرجس ,جنوبية,3,1,3,134,0,0,1,علوي,0,0,890000
شقة, الرياض , حي النزهة ,جنوبية شرقية,3,1,3,203,1,0,0,,8,0,1500000
شقة, الرياض , حي العقيق ,شمالية,4,1,3,220,1,1,1,3,0,0,800000
شقة, الرياض , حي الملقا ,شمالية,3,1,3,150,0,0,0,أرضي,0,0,1150000
شقة, منطقة الرياض, الرياض ,جنوبية,3,2,3,130,1,0,0,أرضي,0,0,840000
شقة, الرياض , حي المروج ,شمالية شرقية,3,1,2,130,1,0,1,,10,0,800000
شقة, الرياض , حي العارض ,,3,2,3,138,1,0,1,علوي,0,0,895000
شقة, الرياض , حي المصيف ,شرقية,2,1,2,103,0,0,1,,0,0,849000
شقة, الرياض , حي النرجس ,غربية,4,1,4,156,0,0,0,ارضي,0,0,1000000
شقة, امارة منطقة الرياض, الرياض ,شمالية شرقية,1,1,2,81,0,1,1,20+,3,0,1700000
شقة, الرياض , حي النرجس ,غربية,4,1,3,160,1,0,1,3,0,0,920000
شقة, الرياض , حي العارض ,غربية,4,2,3,145,0,1,1,,0,0,920000
