نوع العقار,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
شقة, حي الياسمين ,شمالية,3,2,4,212,يوجد, لا يوجد,يوجد,أرضي,10.0,0,1000000
شقة, حي الملقا ,شرقية,3,1,3,134,يوجد, لا يوجد, لا يوجد,علوي,0.0,0,980000
شقة, حي القيروان ,شرقية,3,1,3,139,يوجد, لا يوجد, لا يوجد,أرضي,1.0,0,1600000
شقة, الرياض ,شرقية,4,1,3,134,يوجد,يوجد,يوجد,3,1.0,0,1100000
شقة, الرياض ,غير معروف,1,0,3,151, لا يوجد, لا يوجد, لا يوجد,غير محدد,0.0,0,896000
شقة, حي التعاون ,شرقية,4,2,3,126,يوجد, لا يوجد,يوجد,علوي,5.0,0,900000
شقة, حي الملقا ,شرقية,3,1,3,135,يوجد, لا يوجد,يوجد,أرضي,0.0,1,1176000
شقة, حي النرجس ,غربية,3,1,3,115,يوجد,يوجد,يوجد,أرضي,0.0,0,799000
شقة, حي الصحافة ,جنوبية شرقية,1,1,2,81,يوجد,يوجد,يوجد,غير محدد,7.0,1,1600000
شقة, حي العارض ,غير معروف,2,1,3,133, لا يوجد,يوجد,يوجد,أرضي,0.0,0,790000
شقة, حي النرجس ,غير معروف,3,2,3,147,يوجد, لا يوجد, لا يوجد,أرضي,0.0,0,920000
شقة, حي الياسمين ,غير معروف,4,1,3,112, لا يوجد, لا يوجد,يوجد,أرضي,0.0,0,955000
شقة, حي العارض ,جنوبية,3,1,3,126, لا يوجد,يوجد, لا يوجد,ارضي,0.0,0,900000
شقة, الرياض ,شرقية,4,1,5+,181, لا يوجد, لا يوجد,يوجد,علوي,0.0,0,1300000
شقة, حي النرجس ,ثلاث شوارع,2,1,3,167,يوجد,يوجد,يوجد,علوي,0.0,0,1255600
شقة, حي العارض ,شمالية,3,1,4,203, لا يوجد,يوجد,يوجد,ثالث,0.0,0,1150000
شقة, حي النرجس ,شمالية,3,1,2,120,يوجد,يوجد,يوجد,أرضي,0.0,0,909000
شقة, حي النرجس ,جنوبية,3,1,3,134, لا يوجد, لا يوجد,يوجد,علوي,0.0,0,890000
شقة, حي النرجس ,شرقية,3,1,4,178,يوجد, لا يوجد,يوجد,أرضي,0.0,0,900000
شقة, حي الياسمين ,غير معروف,6,1,5+,180,يوجد, لا يوجد, لا يوجد,أرضي,10.0,1,1100000
شقة, حي الملقا ,شمالية,4,1,3,179,يوجد,يوجد,يوجد,3,0.0,0,1155000
شقة, حي الفلاح ,غير معروف,3,1,3,112,يوجد, لا يوجد, لا يوجد,علوي,0.0,0,1069000
شقة, حي الملقا ,غربية,3,1,3,190,يوجد,يوجد,يوجد,علوي,0.0,0,1600000
شقة, حي الربيع ,جنوبية,3,1,3,114,يوجد, لا يوجد,يوجد,أرضي,0.0,0,1000000
شقة, حي الياسمين ,جنوبية,3,1,3,172,يوجد,يوجد, لا يوجد,غير محدد,3.0,0,1250000
شقة, حي الياسمين ,غير معروف,4,1,3,154,يوجد, لا يوجد,يوجد,أرضي,0.0,0,900000
شقة, حي النرجس ,شرقية,3,2,3,137, لا يوجد, لا يوجد, لا يوجد,أرضي,0.0,0,980000
شقة, الرياض ,غير معروف,3,1,4,181,يوجد,يوجد,يوجد,20+,0.0,1,2550000
شقة, حي القيروان ,غير معروف,3,1,2,126, لا يوجد, لا يوجد, لا يوجد,غير محدد,2.0,0,950000
شقة, حي النرجس ,غير معروف,4,1,4,137, لا يوجد, لا يوجد, لا يوجد,أرضي,0.0,0,1070000
شقة, حي الملقا ,شرقية,3,1,3,128,يوجد, لا يوجد, لا يوجد,علوي,7.0,0,860000
شقة, حي العارض ,شمالية,3,1,2,120, لا يوجد, لا يوجد,يوجد,أرضي,0.0,0,910000
شقة, حي النرجس ,جنوبية شرقية,1,1,2,170,يوجد, لا يوجد,يوجد,3,0.0,0,930000
شقة, حي الندى ,جنوبية,3,2,3,138,يوجد,يوجد,يوجد,علوي,0.0,0,1089000
شقة, حي العارض ,شرقية,3,1,3,280, لا يوجد,يوجد,يوجد,علوي,0.0,0,1289000
شقة, حي القيروان ,غير معروف,3,1,3,130,يوجد,يوجد,يوجد,أرضي,0.0,1,1328465
شقة, حي النرجس ,غير معروف,2,1,2,129,يوجد, لا يوجد, لا يوجد,أرضي,0.0,0,830000
شقة, حي العارض ,شرقية,3,1,3,144, لا يوجد, لا يوجد, لا يوجد,أرضي,0.0,0,900000
شقة, حي الملقا ,غير معروف,3,2,3,169, لا يوجد, لا يوجد,يوجد,علوي,0.0,0,1350000
شقة, حي العارض ,جنوبية,4,1,4,200, لا يوجد,يوجد, لا يوجد,أرضي,0.0,0,1200000
شقة, حي العارض ,غير معروف,4,1,3,138,يوجد, لا يوجد, لا يوجد,علوي,3.0,0,750000
شقة, حي النرجس ,شمالية,3,1,3,138,يوجد,يوجد,يوجد,أرضي,3.0,0,1200000
شقة, حي النرجس ,شمالية,4,2,4,163,يوجد, لا يوجد, لا يوجد,3,0.0,0,900000
شقة, حي النرجس ,شمالية,4,1,3,179,يوجد,يوجد,يوجد,3,0.0,0,1155000
شقة, حي الياسمين ,غير معروف,2,1,3,100,يوجد, لا يوجد, لا يوجد,أرضي,5.0,0,850000
شقة, حي العارض ,جنوبية,4,2,4,200,يوجد,يوجد,يوجد,علوي,0.0,0,1190000
شقة, حي القيروان ,غير معروف,3,1,3,135,يوجد, لا يوجد,يوجد,3,3.0,1,1400000
شقة, حي النرجس ,ثلاث شوارع,2,1,3,151,يوجد,يوجد,يوجد,علوي,0.0,0,1179000
شقة, حي العقيق ,شمالية غربية,3,1,3,162,يوجد,يوجد,يوجد,3,0.0,0,700000
شقة, حي العارض ,جنوبية,3,2,3,134,يوجد, لا يوجد, لا يوجد,أرضي,0.0,1,1200000
شقة, الرياض ,غير معروف,3,1,3,195,يوجد,يوجد,يوجد,علوي,0.0,1,1199000
شقة, حي الوادي ,شمالية,4,1,2,161,يوجد,يوجد,يوجد,3,0.0,0,800000
شقة, حي حطين ,شرقية,3,1,3,141,يوجد, لا يوجد,يوجد,أرضي,0.0,0,1400000
شقة, حي المصيف ,جنوبية,2,1,2,100,يوجد, لا يوجد,يوجد,غير محدد,2.0,1,1100000
شقة, حي النرجس ,جنوبية,3,2,3,200,يوجد, لا يوجد, لا يوجد,أرضي,1.0,0,950000
شقة, حي الندى ,جنوبية,2,1,3,109,يوجد, لا يوجد,يوجد,أرضي,0.0,0,839000
شقة, الرياض ,غير معروف,3,2,3,149,يوجد, لا يوجد,يوجد,علوي,0.0,0,1250000
شقة, حي العارض ,جنوبية,2,1,2,133, لا يوجد, لا يوجد,يوجد,غير محدد,0.0,0,799000
شقة, حي القيروان ,شمالية غربية,3,1,4,280,يوجد,يوجد, لا يوجد,اول,0.0,0,1730000
شقة, حي الملقا ,شمالية,4,1,4,157, لا يوجد, لا يوجد,يوجد,علوي,0.0,0,1300000
شقة, حي الندى ,جنوبية شرقية,3,2,3,241,يوجد,يوجد,يوجد,3,0.0,0,1429000
شقة, حي النرجس ,غير معروف,3,1,3,131,يوجد, لا يوجد, لا يوجد,أرضي,0.0,1,890000
شقة, حي حطين ,شرقية,3,1,3,104,يوجد,يوجد, لا يوجد,أرضي,0.0,1,1400000
شقة, حي النرجس ,شرقية,4,2,3,144, لا يوجد, لا يوجد,يوجد,علوي,0.0,0,1150000
شقة, حي حطين ,غير معروف,3,2,4,166, لا يوجد, لا يوجد,يوجد,أرضي,0.0,0,1299000
شقة, حي الملقا ,شرقية,3,1,3,169,يوجد, لا يوجد,يوجد,أرضي,0.0,0,1179000
شقة, حي العارض ,جنوبية,3,1,3,153,يوجد,يوجد, لا يوجد,غير محدد,0.0,1,1160000
شقة, حي القيروان ,شمالية,3,1,3,210, لا يوجد, لا يوجد,يوجد,3,0.0,0,1390000
شقة, الرياض ,شمالية شرقية,3,1,3,147, لا يوجد, لا يوجد, لا يوجد,أرضي,0.0,0,957000
شقة, حي الملقا ,غير معروف,3,2,3,119,يوجد, لا يوجد, لا يوجد,أرضي,10.0,0,799000
شقة, حي المرسلات ,غير معروف,3,1,3,128, لا يوجد, لا يوجد,يوجد,علوي,0.0,0,1400000
شقة, حي المغرزات ,غربية,3,1,3,154,يوجد,يوجد,يوجد,علوي,0.0,0,1179000
شقة, حي التعاون ,شمالية,4,1,3,191,يوجد,يوجد,يوجد,3,0.0,0,1620000
شقة, حي النرجس ,جنوبية شرقية,3,1,4,160, لا يوجد, لا يوجد,يوجد,غير محدد,0.0,0,1100000
شقة, حي حطين ,شرقية,3,2,3,170, لا يوجد, لا يوجد,يوجد,3,0.0,0,1390000
شقة, حي النرجس ,شمالية غربية,3,2,3,176, لا يوجد, لا يوجد,يوجد,علوي,0.0,0,1233000
