نوع العقار,الغرض,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,سكني, حي المونسية ,شمالية,2825,4400,12430000
أرض,سكني, حي المونسية ,شرقية,2520,4400,11088000
أرض,سكني, الرياض ,غربية,750,520,390000
أرض,سكني, حي المونسية ,شمالية غربية,3905,4400,17182000
أرض,سكني, حي السعادة ,شمالية,375,1500,562500
أرض,سكني, حي السعادة ,غربية,22300,2700,60210000
أرض,سكني, حي الرمال ,شمالية شرقية,420,4200,1764000
أرض,سكني, حي الرمال ,جنوبية,500,4200,2100000
أرض,تجاري وسكني, حي خشم العان ,شمالية,1050,2500,2625000
أرض,تجاري وسكني, حي القادسية ,أربع شوارع,10000,2400,24000000
أرض,تجاري وسكني, حي المشرق ,شمالية,900,559,503100
أرض,تجاري وسكني, الرياض ,شمالية,900,559,503100
أرض,تجاري وسكني, حي الصفا ,غربية,400,3600,1440000
أرض,تجاري وسكني, الرياض ,شمالية,930,560,520800
أرض,تجاري وسكني, الرياض ,شرقية,700,550,385000
أرض,تجاري وسكني, حي الملك فيصل ,جنوبية,900,550,495000
أرض,تجاري وسكني, حي المشرق ,شمالية,763,550,419650
أرض,تجاري وسكني, حي المشرق ,جنوبية,750,460,345000
أرض,تجاري وسكني, الرياض ,شرقية,750,460,345000
أرض,تجاري وسكني, الرياض ,جنوبية,750,460,345000
أرض,تجاري وسكني, حي غرناطة ,شمالية,575,5800,3335000
أرض,تجاري, حي الرمال ,جنوبية,412,3200,1318400
أرض,تجاري, حي الرمال ,شمالية,5000,1950,9750000
أرض,تجاري, حي القادسية ,شرقية,543,2300,1248900
أرض,تجاري, الرياض ,شمالية,750,650,487500
أرض,تجاري, الرياض ,شمالية,750,500,375000
أرض,تجاري, حي الرمال ,شمالية,375,1466,549750
أرض,تجاري, حي الرمال ,جنوبية,416,3200,1331200
أرض,تجاري, حي غرناطة ,جنوبية,416,3200,1331200
أرض,تجاري, حي النهضة ,شرقية,362,2700,977400
أرض,تجاري, الرياض ,شمالية,600,2700,1620000
أرض,تجاري, حي اشبيلية ,أربع شوارع,5670,4900,27783000
أرض,تجاري, حي اشبيلية ,جنوبية,747,414,309258
أرض,تجاري, الرياض ,شمالية,750,414,310500
أرض,تجاري, حي النهضة ,شرقية,420,3000,1260000
أرض,تجاري, حي الحمراء ,شرقية,1125,4800,5400000
أرض,تجاري, حي الحمراء ,جنوبية,1500,4200,6300000
أرض,تجاري, طريق سعيد ابن زيد ,جنوبية غربية,2250,8000,18000000
أرض,تجاري, حي الرمال ,جنوبية,412,3150,1297800
أرض,تجاري, حي العلا ,جنوبية,750,3150,2362500
أرض,تجاري, الرياض ,شرقية,371,3150,1168650
أرض,تجاري, حي النهضة ,شمالية,450,2650,1192500
أرض,تجاري وسكني, الرياض ,ثلاث شوارع,5302,3000,15906000
أرض,تجاري وسكني, الرياض ,شمالية شرقية,357,3000,1071000
أرض,تجاري وسكني, حي الروضة ,أربع شوارع,9900,4500,44550000
أرض,تجاري وسكني, حي الشهداء ,ثلاث شوارع,3900,6500,25350000
أرض,تجاري وسكني, حي الشهداء ,غربية,763,315,240345
أرض,تجاري وسكني, حي الشهداء ,شمالية,2000,315,630000
أرض,تجاري وسكني, حي المشرق ,شمالية شرقية,2000,315,630000
أرض,تجاري وسكني, حي القادسية ,جنوبية,597,315,188055
أرض,تجاري وسكني, حي القدس ,غربية,450,5300,2385000
أرض,تجاري وسكني, حي القدس ,شرقية,750,5300,3975000
أرض,تجاري وسكني, حي القدس ,جنوبية,750,7333,5499750
أرض,تجاري وسكني, حي الرمال ,جنوبية,900,2900,2610000
أرض,تجاري وسكني, الرياض ,جنوبية,900,1000,900000
أرض,تجاري وسكني, حي القادسية ,شمالية,450,1000,450000
أرض,سكني, حي الاندلس ,شرقية,1000,4000,4000000
أرض,سكني, حي اشبيلية ,شمالية غربية,2007,4000,8028000
أرض,سكني, حي الروضة ,غربية,751,3700,2778700
أرض,سكني, حي الروضة ,غربية,750,4000,3000000
أرض,تجاري وسكني, حي النسيم الغربي ,جنوبية,630,1800,1134000
أرض,تجاري وسكني, حي الشعلة ,جنوبية,763,318,242634
أرض,تجاري وسكني, حي الشعلة ,جنوبية,870,867,754290
أرض,تجاري وسكني, حي الشعلة ,جنوبية,900,944,849600
أرض,تجاري وسكني, حي الشعلة ,شرقية,918,944,866592
أرض,تجاري وسكني, حي الشعلة ,جنوبية غربية,429,944,404976
أرض,تجاري وسكني, الرياض ,غربية,379,3150,1193850
أرض,تجاري وسكني, حي النهضة ,شرقية,420,3000,1260000
أرض,تجاري وسكني, حي الشرق ,شمالية,454,2500,1135000
أرض,تجاري وسكني, حي الشرق ,غربية,744,1800,1339200
أرض,تجاري, حي السعادة ,ثلاث شوارع,4577,3500,16019500
أرض,تجاري, حي الندوة ,شمالية,375,3500,1312500
أرض,تجاري, حي الندوة ,جنوبية غربية,900,777,699300
أرض,تجاري, الرياض ,جنوبية غربية,900,777,699300
أرض,تجاري, حي الفيحاء ,غربية,720,777,559440
أرض,تجاري, حي قرطبة ,شرقية,800,5500,4400000
أرض,تجاري, حي الروضة ,شمالية شرقية,608,4000,2432000
أرض,تجاري, حي الروضة ,شرقية,543,4100,2226300
أرض,تجاري, حي المعيزلة ,شمالية,437,2900,1267300
أرض,تجاري, حي الملك فيصل ,شرقية,750,3350,2512500
أرض,تجاري, حي الملك فيصل ,غربية,760,526,399760
أرض,تجاري, حي اليرموك ,شمالية,300,3600,1080000
أرض,تجاري, حي الرمال ,جنوبية غربية,1930,2800,5404000
أرض,تجاري, حي الرمال ,جنوبية,625,4000,2500000
أرض,تجاري, حي الرمال ,غربية,600,3000,1800000
أرض,تجاري, الرياض ,ثلاث شوارع,1225,2500,3062500
أرض,تجاري, حي الندوة ,جنوبية,1280,3000,3840000
أرض,تجاري, حي السعادة ,جنوبية,306,2777,849762
أرض,تجاري, حي المشرق ,شمالية,750,480,360000
أرض,تجاري, امارة منطقة الرياض ,شمالية,750,600,450000
أرض,تجاري, حي الرمال ,ثلاث شوارع,1200,3400,4080000
أرض,تجاري, حي الجنادرية ,شمالية شرقية,500,3400,1700000
أرض,تجاري, حي العلا ,شمالية,936,459,429624
أرض,تجاري, حي العلا ,شمالية,1650,8000,13200000
