,yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR
8047,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,السعادة,قطعة أرض-تجارى,7,13070998.0,674.326984
8081,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الملقا,قطعة أرض-تجارى,13,530009500.0,11180.785144
8082,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الملقا,قطعة أرض-تجارى,11,168085450.0,6587.704935
8083,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الملقا,قطعة أرض-تجارى,21,348088618.0,6344.10836
8084,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الملقا,قطعة أرض-تجارى,38,440904073.0,4898.997695
8090,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الجزيرة,قطعة أرض-تجارى,10,30673616.0,2293.488469
8101,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,النرجس,قطعة أرض-تجارى,17,501909483.22,4559.149336
8102,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,النرجس,قطعة أرض-تجارى,55,1112356716.5,4892.656453
8103,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,النرجس,قطعة أرض-تجارى,79,772292258.0,4233.212828
8346,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الربوة,قطعة أرض-تجارى,6,52493436.0,3455.497382
8347,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الربوة,قطعة أرض-تجارى,6,51517700.0,6444.82666
8633,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الرمال,قطعة أرض-تجارى,59,189189260.0,1586.659774
8634,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الرمال,قطعة أرض-تجارى,33,94112963.6,1040.696192
8635,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الرمال,قطعة أرض-تجارى,21,134647695.6,2456.219951
8636,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الرمال,قطعة أرض-تجارى,35,172559532.8,1100.053789
8637,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الرمال,قطعة أرض-تجارى,65,774475367.68,2212.510899
8638,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الرمال,قطعة أرض-تجارى,29,158176236.03,931.847229
8725,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,المروج,قطعة أرض-تجارى,11,111403000.0,4117.610799
8726,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,المروج,قطعة أرض-تجارى,7,50160000.0,3227.855833
8727,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,المروج,قطعة أرض-تجارى,11,110555217.0,10171.38238
