,yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR
19675,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الراية,قطعة أرض-سكنى,9,1466500.0,216.049382
19676,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الرفيعة,قطعة أرض-سكنى,21,32175703.7,1493.244014
19678,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,البرية,قطعة أرض-سكنى,4,1750000.0,
19679,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,البرية,قطعة أرض-سكنى,14,10777036.0,718.299445
19680,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,البرية,قطعة أرض-سكنى,15,5796300.0,586.721991
19735,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,النرجس,قطعة أرض-سكنى,332,642719040.83,4629.510115
19736,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,النرجس,قطعة أرض-سكنى,233,717515935.48,4626.002597
19737,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,النرجس,قطعة أرض-سكنى,446,691375571.52,3808.981717
19738,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,النرجس,قطعة أرض-سكنى,347,289318405.42,1427.869218
19761,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,النرجس,قطعة أرض-سكنى,227,334112481.6,2908.293779
19762,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,النسيم الغربي,قطعة أرض-سكنى,68,57648210.81,1599.099448
19763,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الصالحية,قطعة أرض-سكنى,6,1315000.0,1736.947536
19811,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الصالحية,قطعة أرض-سكنى,2,3941076.3,
19812,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الصالحية,قطعة أرض-سكنى,2,250000.0,
19813,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الملقا,قطعة أرض-سكنى,48,217955998.21,5774.856592
19814,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,النرجس,قطعة أرض-سكنى,390,630174459.52,3050.61885
19815,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,النرجس,قطعة أرض-سكنى,63,111382765.24,2706.488863
19816,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,النرجس,قطعة أرض-سكنى,423,472753594.37,1946.112197
19817,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,النرجس,قطعة أرض-سكنى,756,770296661.04,1650.311325
19844,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الإزدهار,قطعة أرض-سكنى,8,20083466.96,3057.930213
19845,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الإزدهار,قطعة أرض-سكنى,6,8277419.0,4169.064693
19846,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الإزدهار,قطعة أرض-سكنى,11,12076124.79,3178.113372
19847,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الإزدهار,قطعة أرض-سكنى,7,8367550.0,3021.797468
19848,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,البيان,قطعة أرض-سكنى,62,63305410.0,2089.409909
19849,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,البيان,قطعة أرض-سكنى,74,62465650.0,2339.607043
19850,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,البيان,قطعة أرض-سكنى,161,125891176.73,1486.902875
19851,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,البيان,قطعة أرض-سكنى,120,48229772.5,803.818991
19852,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,العريجاء الأوسط,قطعة أرض-سكنى,10,5403000.0,1615.833333
19853,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,العريجاء الأوسط,قطعة أرض-سكنى,14,8948000.0,1682.5
19854,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,العريجاء الأوسط,قطعة أرض-سكنى,5,3635000.0,
19855,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,العريجاء الأوسط,قطعة أرض-سكنى,3,930000.0,
19856,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,البيان,قطعة أرض-سكنى,106,110444803.5,2981.147456
19857,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,البيان,قطعة أرض-سكنى,122,75057699.4,1167.586171
19858,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,البيان,قطعة أرض-سكنى,29,11143720.0,597.982303
19859,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,البيان,قطعة أرض-سكنى,24,8078385.0,774.263957
19861,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الإزدهار,قطعة أرض-سكنى,12,14129582.19,2237.499583
19862,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الإزدهار,قطعة أرض-سكنى,24,37400350.0,3315.44835
19863,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الإزدهار,قطعة أرض-سكنى,16,17824748.2,2453.855798
19864,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الإزدهار,قطعة أرض-سكنى,5,10910633.33,
19865,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الإزدهار,قطعة أرض-سكنى,10,11322198.0,2420.103796
19866,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الغدير,قطعة أرض-سكنى,5,13674000.0,
19867,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,,قطعة أرض-سكنى,1,190804.0,
19878,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الإزدهار,قطعة أرض-سكنى,4,7258000.0,
19879,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الإزدهار,قطعة أرض-سكنى,12,26189936.0,4827.971109
19880,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الإزدهار,قطعة أرض-سكنى,16,33555701.0,4190.963366
19881,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,العريجاء الأوسط,قطعة أرض-سكنى,14,13287167.0,2329.349062
19882,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,العريجاء الأوسط,قطعة أرض-سكنى,15,10289778.0,1652.421875
19883,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,العريجاء الأوسط,قطعة أرض-سكنى,4,1906250.0,
19898,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الغدير,قطعة أرض-سكنى,6,18435500.0,3766.67484
19899,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الغدير,قطعة أرض-سكنى,11,31973072.75,3237.450742
19900,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الغدير,قطعة أرض-سكنى,8,18461256.9,2206.343636
19901,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الغدير,قطعة أرض-سكنى,4,22408278.78,
19905,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الغدير,قطعة أرض-سكنى,7,103145991.13,6080.645161
19906,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الغدير,قطعة أرض-سكنى,3,5654000.0,
19907,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الغدير,قطعة أرض-سكنى,7,17159839.7,3212.448689
19908,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الغدير,قطعة أرض-سكنى,13,30099000.0,4304.379695
19918,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الغدير,قطعة أرض-سكنى,2,14200000.0,
19919,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الغدير,قطعة أرض-سكنى,8,66551414.86,5143.10354
19920,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الغدير,قطعة أرض-سكنى,7,43039342.0,4419.56253
19921,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,البيان,قطعة أرض-سكنى,95,119728131.99,2411.790231
19922,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,البيان,قطعة أرض-سكنى,67,70036571.52,2558.98421
19923,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,البيان,قطعة أرض-سكنى,194,195767550.0,2377.021669
19924,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,البيان,قطعة أرض-سكنى,170,137845952.47,1935.239666
19925,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,العريجاء الأوسط,قطعة أرض-سكنى,1,400000.0,
19926,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,العريجاء الأوسط,قطعة أرض-سكنى,14,10718740.65,1596.678987
19927,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,العريجاء الأوسط,قطعة أرض-سكنى,1,16845.62,
20023,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,معكال,قطعة أرض-سكنى,1,1474210.0,
20037,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,العريجاء,قطعة أرض-سكنى,28,19211089.7,1700.24495
20038,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,العريجاء,قطعة أرض-سكنى,40,21364406.29,1622.857216
20039,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,العريجاء,قطعة أرض-سكنى,77,45658551.59,1541.940851
20040,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,,قطعة أرض-سكنى,1,800000.0,
20041,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,,قطعة أرض-سكنى,1,700000.0,
20042,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,,قطعة أرض-سكنى,3,398600.0,
20043,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,,قطعة أرض-سكنى,1,100000.0,
20044,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,,قطعة أرض-سكنى,2,1350000.0,
20045,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الفيحاء,قطعة أرض-سكنى,9,7544497.0,2022.513241
20057,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الفيحاء,قطعة أرض-سكنى,15,10059872.11,1667.556971
20058,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الفيحاء,قطعة أرض-سكنى,12,9899863.4,2116.996141
20059,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,,قطعة أرض-سكنى,1,415000.0,
20060,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,,قطعة أرض-سكنى,1,900000.0,
20061,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,,قطعة أرض-سكنى,3,4550000.0,
20062,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,,قطعة أرض-سكنى,7,15090800.0,2262.954375
20063,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,,قطعة أرض-سكنى,3,1362802.0,
20074,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الفيحاء,قطعة أرض-سكنى,9,9826019.25,2518.169506
