,front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
2010,شرقية,4,1,4,15.0,0,0,0,0,1,0,1,1,0,360,0,1,0,0,0,0,القيروان,شمال الرياض,2900000.0,8055.555556
2011,غربية,4,4,5,15.0,0,0,1,1,1,1,1,1,0,350,0,1,0,0,0,0,طيبة,جنوب الرياض,1000000.0,2857.142857
2012,غربية,3,-1,3,10.0,0,5,1,0,0,1,1,1,0,375,3,1,0,0,0,0,النسيم الغربي,شرق الرياض,1400000.0,3733.333333
2013,جنوبية,4,2,4,20.0,0,6,1,1,1,1,1,1,0,400,2,1,0,0,1,0,الملقا,شمال الرياض,3250000.0,8125.0
2014,شرقية,5,2,5,20.0,0,0,0,1,1,1,0,1,1,320,0,1,0,0,0,0,Unknown,جنوب الرياض,1180000.0,3687.5
2015,شرقية,4,3,5,19.0,1,0,0,1,0,1,0,1,0,252,1,0,0,0,0,0,طويق,غرب الرياض,1250000.0,4960.31746
2016,شرقية,4,3,5,20.0,1,0,0,1,1,1,1,1,1,300,0,1,0,0,0,0,عكاظ,جنوب الرياض,9800000.0,32666.66667
2017,شمالية,5,3,5,20.0,0,0,0,1,1,1,1,1,1,300,0,0,0,0,0,0,طويق,غرب الرياض,1220000.0,4066.666667
2018,جنوبية,5,2,5,21.0,1,0,0,1,1,1,1,1,1,270,0,1,0,0,0,0,الحزم,غرب الرياض,1050000.0,3888.888889
2019,جنوبية,5,3,5,20.0,0,0,0,1,1,1,1,1,1,255,0,1,0,0,0,0,الحزم,غرب الرياض,1250000.0,4901.960784
2020,غربية,5,3,5,10.0,1,0,0,1,0,1,0,1,0,382,1,1,1,0,0,0,النسيم الغربي,شرق الرياض,1300000.0,3403.141361
2021,شمالية,4,2,5,20.0,1,0,0,1,1,1,1,1,1,300,0,1,0,0,1,0,بدر,جنوب الرياض,1070000.0,3566.666667
2022,غربية,4,4,4,15.0,1,8,1,0,0,1,1,1,0,354,3,1,0,0,0,0,المنار,شرق الرياض,1750000.0,4943.502825
2023,شمالية,5,1,4,30.0,0,0,0,0,1,1,0,1,0,300,0,1,0,0,0,0,بدر,جنوب الرياض,620000.0,2066.666667
2024,شرقية,4,2,5,20.0,1,0,0,1,1,1,1,1,0,450,2,1,0,0,0,0,ديراب,غرب الرياض,1600000.0,3555.555556
2025,غربية,5,2,5,18.0,1,0,0,1,1,1,1,1,0,500,2,1,0,1,0,0,Unknown,شرق الرياض,2700000.0,5400.0
2026,شمالية,3,3,5,20.0,0,0,0,0,0,1,0,1,1,250,0,1,0,0,0,0,العارض,شمال الرياض,2300000.0,9200.0
2027,شرقية,5,1,5,20.0,1,0,1,0,0,1,1,1,0,400,0,1,1,0,0,0,النرجس,شمال الرياض,4800000.0,12000.0
2028,شرقية,5,3,4,25.0,0,0,0,0,0,1,1,1,0,318,1,0,0,0,0,0,الحزم,غرب الرياض,1450000.0,4559.748428
2029,غربية,4,4,4,16.0,1,26,1,0,0,1,1,1,0,650,0,1,0,0,0,0,العقيق,شمال الرياض,4000000.0,6153.846154
2030,شمالية,5,3,5,15.0,1,0,1,0,1,1,1,1,0,312,1,1,1,0,0,0,النرجس,شمال الرياض,2950000.0,9455.128205
2031,جنوبية,4,1,5,21.0,0,0,0,1,1,1,1,1,0,360,0,1,0,0,0,0,بدر,جنوب الرياض,1200000.0,3333.333333
2032,غربية,4,1,2,15.0,1,0,1,0,0,1,0,1,0,300,1,1,0,0,0,0,النرجس,شمال الرياض,2000500.0,6668.333333
2033,جنوبية,5,2,5,15.0,0,10,1,1,1,1,1,1,0,525,0,1,0,0,0,0,الصحافة,شمال الرياض,4000000.0,7619.047619
